品牌,号码,底价,含话费,低消,备注,卖家
11,18201279088,156,12,,,xm
11,13501069820,156,7,,,xm
11,18201333189,156,7,,,xm
11,13501266239,156,,,,xm
11,13501276259,156,,,,xm
11,18710129599,160,12,,,xm
11,18701639599,160,7,,,xm
11,18311309599,160,7,,,xm
11,18311309299,160,7,,,xm
11,18701206366,160,7,,,xm
11,13501063810,160,7,,,xm
11,13501279652,160,,,,xm
11,13501226239,160,,,,xm
11,13501225396,160,,,,xm
11,13501232138,160,,,,xm
11,13501301739,160,,,,xm
11,13501261793,160,,,,xm
11,15810536766,184,,,,xm
11,18201268006,192,7,,,xm
11,13501303016,192,,,,xm
11,15910500766,192,,,,xm
11,18301467467,232,110,,,xm
11,13501096827,232,12,,,xm
11,18301091978,232,7,,,xm
11,18201271989,232,7,,,xm
11,18210103518,232,7,,,xm
11,18210536118,232,7,,,xm
11,13552391997,232,7,,,xm
11,18201251989,232,6,,,xm
11,13811368050,232,,,,xm
11,15911051982,232,,,,xm
11,15201273567,232,,,,xm
11,18210755123,232,,,,xm
11,15201625567,232,,,,xm
11,18201305156,264,7,,,xm
11,18710291516,264,7,,,xm
11,18210390716,272,148,,,xm
11,13520611989,272,7,,,xm
11,15110272272,272,,,,xm
11,18210098123,272,,,,xm
11,13501010853,312,7,,,xm
11,13691121973,312,,,,xm
11,18201321516,352,7,,,xm
11,13501215016,352,,,,xm
11,18810117399,392,,,,xm
11,15910938938,392,,,,xm
11,13621362475,392,,,,xm
11,13621362374,392,,,,xm
11,13811389736,392,,,,xm
11,13811389501,392,,,,xm
11,13811385192,392,,,,xm
11,13811382962,392,,,,xm
11,13811382780,392,,,,xm
11,13811383207,392,,,,xm
11,13811389723,392,,,,xm
11,13811388507,392,,,,xm
11,13811382637,392,,,,xm
11,15911081591,432,,,,xm
11,15911171591,432,,,,xm
11,15911021591,432,,,,xm
11,18210891988,472,12,,,xm
11,15120087087,472,,,,xm
11,13501011637,472,,,,xm
11,15210825825,512,16,,,xm
11,18810008905,512,10,,,xm
11,13501015620,512,7,,,xm
11,13811389712,512,,,,xm
11,15810891566,512,,,,xm
11,13521975975,552,10,,,xm
11,18801312699,672,14,,,xm
11,18801312399,672,10,,,xm
11,15010457890,720,12,,,xm
11,18801355066,752,11,,,xm
11,13621362532,792,,,,xm
11,18810076388,880,9,,,xm
11,15910927890,1120,31,,,xm
11,15110171588,1120,5,,,xm
11,13601367529,1120,,,,xm
11,13601361750,1120,,,,xm
11,13701376172,1120,,,,xm
11,15910927890,1192,,,,xm
11,18311187890,1520,23,,,xm
11,13501320936,156,,,,xm
11,13501251302,160,17,,,xm
11,13601261502,160,14,,,xm
11,13501318216,160,13,,,xm
11,18201136299,160,10,,,xm
11,13601339265,160,10,,,xm
11,13601271065,160,,,,xm
11,13501315985,160,,,,xm
11,13810790835,160,,,,xm
11,13810992570,160,,,,xm
11,18210623599,160,,,,xm
11,13581519266,160,,,,xm
11,13810992570,160,,,,xm
11,18201218099,192,,,,xm
11,13681291971,232,112,,,xm
11,15201211980,232,106,,,xm
11,13717691975,232,32,,,xm
11,13501237350,232,18,,,xm
11,13501238975,232,18,,,xm
11,13501237902,232,18,,,xm
11,13691021976,232,16,,,xm
11,13501239715,232,14,,,xm
11,13501233291,232,13,,,xm
11,13501238739,232,13,,,xm
11,13501236329,232,13,,,xm
11,13501251297,232,13,,,xm
11,13681121971,232,12,,,xm
11,15201211975,232,11,,,xm
11,15201211972,232,11,,,xm
11,15201211970,232,11,,,xm
11,15116971978,232,9,,,xm
11,13501236057,232,8,,,xm
11,13671151973,232,8,,,xm
11,15901588366,232,,,,xm
11,15116970567,272,38,,,xm
11,15201211976,272,,,,xm
11,13522071978,304,21,,,xm
11,15116971988,352,9,,,xm
11,18210623567,352,,,,xm
11,13683532532,392,,,,xm
11,13671367524,392,,,,xm
11,13717548383,432,107,,,xm
11,13717523232,432,15,,,xm
11,13699130404,432,12,,,xm
11,13699142121,432,12,,,xm
11,13699144242,432,10,,,xm
11,13699134242,432,9,,,xm
11,13699187744,432,9,,,xm
11,13718027575,432,,,,xm
11,13718032020,432,,,,xm
11,13552897373,432,,,,xm
11,13552173232,432,,,,xm
11,13717907722,432,,,,xm
11,13520957722,432,,,,xm
11,13621179179,432,,,,xm
11,13717736262,472,16,,,xm
11,13699143838,472,15,,,xm
11,15010579922,472,14,,,xm
11,13718923330,472,13,,,xm
11,13693587272,472,10,,,xm
11,13718230202,472,10,,,xm
11,15011161299,472,,,,xm
11,15011161099,472,,,,xm
11,13693573300,472,,,,xm
11,13671327171,472,,,,xm
11,13717693232,472,,,,xm
11,13718750202,472,,,,xm
11,13717907575,472,,,,xm
11,13552177373,472,,,,xm
11,18210621566,480,,,,xm
11,18810117599,512,9,,,xm
11,15811551556,512,,,,xm
11,18810153799,512,,,,xm
11,18810153766,600,9,,,xm
11,13683027676,632,18,,,xm
11,18710197197,632,,,,xm
11,13521796767,720,,,,xm
11,18210751588,720,,,,xm
11,13718022929,720,,,,xm
11,18710187890,1120,26,,,xm
11,15811470123,1840,,,,xm
11,13691420123,1840,,,,xm
11,13521707878,1920,,,,xm
11,13910265000,18400,,,,xm
11,13910580123,18400,,,,xm
11,13601316222,19200,,,,xm
11,13701013300,19200,,,,xm
11,15901276888,19200,,,,xm
11,13701283666,19200,,,,xm
11,13701355222,19200,,,,xm
11,13701355111,19200,,,,xm
11,13910783222,22400,,,,xm
11,18811627888,22400,,,,xm
11,18811672888,22400,,,,xm
11,13910262345,23200,,,,xm
11,13501291234,23200,,,,xm
11,13501292345,23200,,,,xm
11,13701265999,23200,,,,xm
11,13911953999,23200,,,,xm
11,13601320999,23200,,,,xm
11,13601310888,27200,,,,xm
11,13911419888,27200,,,,xm
11,13911062777,27200,,,,xm
11,13601127333,27200,,,,xm
11,13911959777,30400,,,,xm
11,13910952888,31200,,,,xm
11,13801203111,31200,,,,xm
11,18810025888,35200,,,,xm
11,13911875370,352,,,,xm
11,13911875372,356,,,,xm
11,13910537213,356,,,,xm
11,13910975902,400,,,,xm
11,13911279602,400,,,,xm
11,13910752810,432,,,,xm
11,13910762273,432,,,,xm
11,13911803052,512,,,,xm
11,13910976592,512,,,,xm
11,13910976275,512,,,,xm
11,13910873562,512,,,,xm
11,13910983762,552,,,,xm
11,13910617750,552,,,,xm
11,13910966732,552,,,,xm
11,13910879253,552,,,,xm
11,13910556892,552,,,,xm
11,13910650267,600,,,,xm
11,13910557331,632,,,,xm
11,13910553710,632,,,,xm
11,13910236107,720,,,,xm
11,13910976127,720,,,,xm
11,13910983157,720,,,,xm
11,13910617387,720,,,,xm
11,13910568232,752,,,,xm
11,13910635992,920,,,,xm
11,13811386773,1040,,,,xm
11,13811385170,1040,,,,xm
11,13581753288,1120,,,,xm
11,13910567273,1120,,,,xm
11,13910568017,1120,,,,xm
11,13911691307,1120,,,,xm
11,13910966307,1120,,,,xm
11,13910966507,1120,,,,xm
11,13910966317,1120,,,,xm
11,13910555362,1520,,,,xm
11,13581666673,2320,,,,xm
11,13911419388,2720,,,,xm
11,13801135251,3920,,,,xm
11,13801136221,3920,,,,xm
11,13801131821,3920,,,,xm
11,13801135382,3920,,,,xm
11,13801135290,3920,,,,xm
11,13801329751,3920,,,,xm
11,13801325700,5520,,,,xm
11,13801325922,5520,,,,xm
11,13801136022,5520,,,,xm
11,13601309292,6000,,,,xm
11,13651021555,6000,,,,xm
11,13801136377,6320,,,,xm
